project_name,project_id,year,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
เช่าเวที เครื่องเสียง ไฟประดับ และเครื่องปั่นไฟเพื่อจัดกิจกรรมในวันเด็กแห่งชาติ โดยวิธีเฉพาะเจาะจง,61017116256.0,2561,เช่า,เทศบาลเมืองบึงยี่โถ,เทศบาลเมืองบึงยี่โถ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,60000,,60000.0,2561,10 ม.ค. 61,ปทุมธานี,ธัญบุรี,บึงยี่โถ,สิ้นสุดสัญญา,,313060028xxxx,ร้านชัยพรไฟร์เวิร์ค,75/2561,10 ม.ค. 61,15 ม.ค. 61,"60,000",สิ้นสุดสัญญา
เช่าเครื่องถ่ายเอกสาร สำหรับโครงการแก้ไขปัญหาความเดือดร้อนและความต้องงการของประชาชนตาม โครงการไทยนิยม ยั่งยืน ระดับอำเภอ โดยวิธีเฉพาะเจาะจง,61097118601.0,2561,เช่า,กรมการปกครอง,ที่ทำการปกครองอำเภอลำลูกกา,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,60000,60000.0,60000.0,2561,24 ส.ค. 61,ปทุมธานี,ลำลูกกา,ลำลูกกา,สิ้นสุดสัญญา,,310170079xxxx,นางสาว สุชาดา นัยสงวนศรี,104/2561,24 ส.ค. 61,7 ก.ย. 61,"60,000",สิ้นสุดสัญญา
เช่าเครื่องถ่ายเอกสาร สำนักปลัด อบต.คลองสาม จำนวน 3 เครื่อง ประจำเดือนตุลาคม 2560 โดยวิธีเฉพาะเจาะจง,60097219462.0,2561,เช่า,องค์การบริหารส่วนตำบลคลองสาม,องค์การบริหารส่วนตำบลคลองสาม,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,30000,,60000.0,2561,2 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,สิ้นสุดสัญญา,,123546000225.0,ห้างหุ้นส่วนจำกัด เอส.เอ็ม.อี. เซอร์วิส ซัพพลาย,CNTR-0003/61,2 ต.ค. 60,31 ต.ค. 60,"30,000",สิ้นสุดสัญญา
เช่าเครื่องถ่ายเอกสาร จำนวน 1 เครื่อง (กองคลัง) โดยวิธีเฉพาะเจาะจง,60107000567.0,2561,เช่า,องค์การบริหารส่วนตำบลนพรัตน์,องค์การบริหารส่วนตำบลนพรัตน์,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,30000,,60000.0,2561,2 ต.ค. 60,ปทุมธานี,หนองเสือ,นพรัตน์,ระหว่างดำเนินการ,,350070050xxxx,นาง ดารารัตน์ ลีลาภัทร,11/2561,2 ต.ค. 60,30 ก.ย. 61,"30,000",ระหว่างดำเนินการ
"เช่าเครื่องถ่ายเอกสารจำนวน 3 เครื่อง ประกอบด้วย เครื่อง Canon จำนวน 1 เครื่อง,Xerox จำนวน 2 เครื่อง ประจำเดือนพฤศจิกายน 2560 โดยวิธีเฉพาะเจาะจง",60107235566.0,2561,เช่า,องค์การบริหารส่วนตำบลคลองสาม,องค์การบริหารส่วนตำบลคลองสาม,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,30000,,60000.0,2561,31 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,123546000225.0,ห้างหุ้นส่วนจำกัด เอส.เอ็ม.อี. เซอร์วิส ซัพพลาย,CNTR-0057/61,31 ต.ค. 60,30 พ.ย. 60,"30,000",ระหว่างดำเนินการ
เช่าสถานที่เก็บทรัพย์สินของทางราชการ โดยวิธีเฉพาะเจาะจง,60107123376.0,2561,เช่า,กรมตรวจบัญชีสหกรณ์,สำนักงานตรวจบัญชีสหกรณ์ปทุมธานี กรมตรวจบัญชีสหกรณ์,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,30000,30000.0,60000.0,2561,11 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,314070005xxxx,นายสนธยา เลี่ยมทอง,1/2561,11 ต.ค. 60,18 ต.ค. 60,"30,000",ระหว่างดำเนินการ
เช่าเครื่องปริ้นเตอร์กระดาษA4 ขาว-ดำ และปริ้นเตอร์สี รวมจำนวน 2 เครื่อง โดยวิธีเฉพาะเจาะจง,62017140518.0,2561,เช่า,กรมธนารักษ์,กองบริหารเงินตรา กรมธนารักษ์ กรุงเทพฯ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,57984,57984.0,57984.0,2561,28 ก.ย. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,สิ้นสุดสัญญา,,105535030651.0,บริษัท ไอ แอนด์ เอ็ม คอนซัลท์ จำกัด,บต 10/2562,28 ก.ย. 61,22 เม.ย. 63,"57,984",สิ้นสุดสัญญา
เช่ารถโดยสารรับจ้างปรับอากาศ จำนวน 4 คัน โดยวิธีเฉพาะเจาะจง,61037336264.0,2561,เช่า,กรมป้องกันและบรรเทาสาธารณภัย,สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัด ปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,56000,56000.0,56000.0,2561,21 มี.ค. 61,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,135554010261.0,บริษัท โกลบอล เพอร์เฟคชั่น จำกัด,ปท 0021/550,21 มี.ค. 61,26 มี.ค. 61,"56,000",ระหว่างดำเนินการ
เช่าพัดลมไอน้ำ เพื่อใช้ในงานพระราชพิธีถวายพระเพลิงพระบรมศพ โดยวิธีเฉพาะเจาะจง,60107168292.0,2561,เช่า,เทศบาลตำบลหนองเสือ,เทศบาลตำบลหนองเสือ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,26964,,53928.0,2561,20 ต.ค. 60,ปทุมธานี,หนองเสือ,บึงบา,ระหว่างดำเนินการ,,105560054452.0,บริษัท เบรฟ สเต็ป จำกัด,0024/2560,20 ต.ค. 60,26 ต.ค. 60,"26,964",ระหว่างดำเนินการ
เช่ารถโดยสารรับจ้างไม่ประจำทาง โดยวิธีเฉพาะเจาะจง,61037195994.0,2561,เช่า,กรมป้องกันและบรรเทาสาธารณภัย,สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัด ปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,52500,,52500.0,2561,13 มี.ค. 61,ปทุมธานี,เมืองปทุมธานี,บางปรอก,สิ้นสุดสัญญา,,135554010261.0,บริษัท โกลบอล เพอร์เฟคชั่น จำกัด,42/2561,13 มี.ค. 61,28 มี.ค. 61,"52,500",สิ้นสุดสัญญา
เช่าวัสดุอุปกรณ์ในการจัดงานรวมค่าติดตั้งและค่ารื้อถอน โดยวิธีเฉพาะเจาะจง,61087230720.0,2561,เช่า,องค์การบริหารส่วนตำบลบ้านกระแชง,องค์การบริหารส่วนตำบลบ้านกระแชง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,49500,0.0,49500.0,2561,10 ส.ค. 61,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,313010042xxxx,นายวินัย  หยวกขาวดี,74/2561,10 ส.ค. 61,12 ส.ค. 61,"49,500",ระหว่างดำเนินการ
เช่าผ้าพร้อมผูกประดับตกแต่ง (วันเฉลิมพระชนมพรรษา 86 พรรษา ในวันที่ 12 สิงหาคม 2561) โดยวิธีเฉพาะเจาะจง,61087057296.0,2561,เช่า,เทศบาลเมืองคูคต,เทศบาลเมืองคูคต,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,49000,49000.0,49000.0,2561,3 ส.ค. 61,ปทุมธานี,ลำลูกกา,คูคต,ระหว่างดำเนินการ,,313060014xxxx,นายสนิท ราหุละ,396/2561,3 ส.ค. 61,6 ส.ค. 61,"49,000",ระหว่างดำเนินการ
เช่าเหมาติดตั้งเต็นท์กระโจมสีขาวเพื่อรับรองผู้เข้าร่วมงาน เนื่องในโอกาสสมเด็จพระเจ้าลูกเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี จะเสด็จเป็นประธานเปิด บริษัท สยาม กลิตเตอร์ 1957 จำกัด ณ อาคารแสดงผลิตภัณฑ์เพื่อช่วยเหลือราษฎรในพระดำริพระตำหนักจักรีบงกช จำนวน 5 หลัง โดยวิธีเฉพาะเจาะจง,60117441324.0,2561,เช่า,เทศบาลตำบลบางขะแยง,เทศบาลตำบลบางขะแยง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,48685,48685.0,48685.0,2561,28 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บางขะแยง,สิ้นสุดสัญญา,,105548007971.0,บริษัท แสงทองผ้าใบ จำกัด,จ้าง 44/2561,28 พ.ย. 60,5 ธ.ค. 60,"48,685",สิ้นสุดสัญญา
เช่ารถแบ็คโฮขนาดเล็ก(PC 30) เพื่อใช้งานในทางหลวงหมายเลข 347 ตอนเทคโนโลยีปทุมธานี - ต่างระดับเชียงรากน้อย ที่ กม.8+000 - กม.15+800 จำนวน 9 วัน(เริ่ม  4 เม.ย. -12 เม.ย. 61) โดยวิธีเฉพาะเจาะจง,61047063448.0,2561,เช่า,กรมทางหลวง,แขวงทางหลวงปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,48600,,48600.0,2561,3 เม.ย. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,สิ้นสุดสัญญา,,103553019246.0,ห้างหุ้นส่วนจำกัด สุรบดี,416-61197,3 เม.ย. 61,12 เม.ย. 61,"48,600",สิ้นสุดสัญญา
เช่าเช่าเวทีพร้อมอุปกรณ์ ไฟ แสง สี เครื่องขยายเสียงชุดใหญ่ และเครื่องปั่นไฟฟ้าพร้อมน้ำมัน โดยวิธีเฉพาะเจาะจง,60107218789.0,2561,เช่า,องค์การบริหารส่วนตำบลศาลาครุ,องค์การบริหารส่วนตำบลศาลาครุ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,48500,48500.0,48500.0,2561,1 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,119040003xxxx,นายคมสัน  ปลอดห่วง,9/2561,1 พ.ย. 60,4 พ.ย. 60,"48,500",ระหว่างดำเนินการ
เช่าเช่าที่ดินเพื่อใช้เป็นสถานที่จอดรยนต์ขององค์การบริหารส่วนตำบลบางพูด โดยวิธีเฉพาะเจาะจง,60107031403.0,2561,เช่า,องค์การบริหารส่วนตำบลบางพูด,องค์การบริหารส่วนตำบลบางพูด,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,48000,,48000.0,2561,2 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,313010033xxxx,นางสมบุญ  สุดพรหม,4/2561,2 ต.ค. 60,1 ต.ค. 61,"48,000",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสาร โดยวิธีเฉพาะเจาะจง,60097206790.0,2561,เช่า,กรมชลประทาน,โครงการชลประทาน (ชคป.) ปทุมธานี กรมชลประทาน,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,48000,48000.0,48000.0,2561,3 พ.ย. 60,ปทุมธานี,ธัญบุรี,ประชาธิปัตย์,ระหว่างดำเนินการ,,125538010570.0,บริษัท เลิศสยาม 1995 จำกัด,คป.ช.01/2561,3 พ.ย. 60,30 ก.ย. 61,"48,000",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสาร รวม 1 รายการ โดยวิธีตกลงราคา,60076080711.0,2561,เช่า,กรมชลประทาน,โครงการส่งน้ำและบำรุงรักษารังสิตใต้ (ปทุมธานี) กรมชลประทาน,ตกลงราคา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,48000,,48000.0,2561,16 พ.ย. 60,ปทุมธานี,ธัญบุรี,ประชาธิปัตย์,ระหว่างดำเนินการ,,105553147033.0,บริษัท โปร เบสท์ เทค จำกัด,รตช.01/2560,16 พ.ย. 60,30 ก.ย. 60,"48,000",ระหว่างดำเนินการ
เช่ารถซาเล้ง ประจำเดือน ตุลาคม 2560 ถึง กันยายน 2561 โดยวิธีเฉพาะเจาะจง,60117112965.0,2561,เช่า,องค์การบริหารส่วนตำบลบ่อเงิน,องค์การบริหารส่วนตำบลบ่อเงิน,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,24000,,48000.0,2561,2 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,113990001xxxx,นายชลนที ศรีสวัสดิ์,ช002/2561,2 ต.ค. 60,28 ก.ย. 61,"24,000",ระหว่างดำเนินการ
เช่าห้องคอมพิวเตอร์ และค่าใช้จ่ายที่เกี่ยวข้องในโครงการอบรมการใช้โปรแกรมคอมพิวเตอร์เพื่อพัฒนาการปฏิบัติงานแก่บุคลากรเทศบาลเมืองบึงยี่โถ,61057012323.0,2561,เช่า,เทศบาลเมืองบึงยี่โถ,เทศบาลเมืองบึงยี่โถ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,46560,,46560.0,2561,1 พ.ค. 61,ปทุมธานี,ธัญบุรี,บึงยี่โถ,สิ้นสุดสัญญา,,994000005181.0,มหาวิทยาลัยนอร์ทกรุงเทพ,197/2561,1 พ.ค. 61,6 พ.ค. 61,"46,560",สิ้นสุดสัญญา
เช่าบริการขนส่งโดยสารประจำทาง หลักสูตร จบ.ปภ. รุ่นที่ 15 โดยวิธีเฉพาะเจาะจง,60127299833.0,2561,เช่า,กรมป้องกันและบรรเทาสาธารณภัย,สถาบันพัฒนาบุคลากรด้านการป้องกันและบรรเทาสาธารณภัย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,45000,45000.0,45000.0,2561,9 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บางพูน,สิ้นสุดสัญญา,,105552072153.0,บริษัท ธนัชวิชญ์ แทรเวล กรุ๊ป จำกัด,30/2561,9 พ.ย. 60,24 พ.ย. 60,"45,000",สิ้นสุดสัญญา
เช่าเช่าเครื่องถ่ายเอกสาร โดยวิธีเฉพาะเจาะจง,60097293978.0,2561,เช่า,กรมบังคับคดี,สำนักงานบังคับคดีจังหวัดปทุมธานี สาขาธัญบุรี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,44940,44940.0,44940.0,2561,1 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,105545097375.0,บริษัท เอ.พี.เอส ควอลิตี้ เซอร์วิส จำกัด,ธบ.2/2561,1 ต.ค. 60,30 ก.ย. 61,"44,940",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสาร โดยทำการจัดซื้อผงหมึกเครื่องถ่าย จำนวน 3 หลอด โดยวิธีเฉพาะเจาะจง,61077048029.0,2561,เช่า,องค์การบริหารส่วนตำบลคลองหก,องค์การบริหารส่วนตำบลคลองหก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,44940,44940.0,44940.0,2561,5 ก.ค. 61,ปทุมธานี,เมืองปทุมธานี,บางปรอก,สิ้นสุดสัญญา,,123551005086.0,ห้างหุ้นส่วนจำกัด เปเปอร์ ก๊อปปี้ แอนด์ ดิจิตอล เน็ทเวิร์ค,244/2561,5 ก.ค. 61,12 ก.ค. 61,"44,940",สิ้นสุดสัญญา
เช่าเช่าเครื่องถ่ายเอกสาร โดยวิธีเฉพาะเจาะจง,60097269964.0,2561,เช่า,สำนักงานการปฎิรูปที่ดินเพื่อเกษตรกรรม,สำนักงานการปฏิรูปที่ดินจังหวัด ปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,48000,44940.0,44819.0,2561,20 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บ้านกลาง,ระหว่างดำเนินการ,,735545002247.0,บริษัท เอ็น.เอ็น.พี.เซ็นเตอร์ จำกัด,1/2561,20 พ.ย. 60,30 ก.ย. 61,"44,819",ระหว่างดำเนินการ
"เช่าถังแก๊ส , ถังดับเพลิง  จำนวน 3 รายการ โดยวิธีเฉพาะเจาะจง",61097185885.0,2561,เช่า,เทศบาลเมืองบางคูวัด,เทศบาลเมืองบางคูวัด,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,44000,44000.0,44000.0,2561,28 ส.ค. 61,ปทุมธานี,เมืองปทุมธานี,บางคูวัด,ระหว่างดำเนินการ,,345040027xxxx,นายอภัย สุวรรณแสน,1308/2561,28 ส.ค. 61,31 ส.ค. 61,"44,000",ระหว่างดำเนินการ
"เช่าเช่าเหมารถบัสปรับอากาศโครงการค่ายุวกาชาดหลักสูตรพื้นฐานยุวกาชาด วันที่ 14-16 ส.ค.61 จำนวน 2คัน10,000บาท2วัน รวมจำนวนเงิน 40,000 บาท โดยวิธีเฉพาะเจาะจง",61087229293.0,2561,เช่า,ศูนย์ กศน.คลองหลวง,ศูนย์ กศน.คลองหลวง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,40000,20000.0,40000.0,2561,10 ส.ค. 61,ปทุมธานี,-,-,สิ้นสุดสัญญา,,133540000339.0,หจก.สามารถ แอนด์ เอส.เอ็ม.ทรานสปอร์ต,36/2561,10 ส.ค. 61,17 ส.ค. 61,"40,000",สิ้นสุดสัญญา
เช่าค่าเช่าบ้านพัก นายธีรพัฒน์ บุญช่วย โดยวิธีเฉพาะเจาะจง,61097390773.0,2561,เช่า,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,40000,40000.0,40000.0,2561,20 ก.ย. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,ระหว่างดำเนินการ,,315030014xxxx,นายธีรพัฒน์ บุญช่วย,2043180530,20 ก.ย. 61,31 ม.ค. 62,"40,000",ระหว่างดำเนินการ
เช่าค่าเช่าบ้านพัก นางศรีทอง ผดุงชิต โดยวิธีเฉพาะเจาะจง,61097390800.0,2561,เช่า,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,ศูนย์พันธุวิศวกรรมและเทคโนโลยีชีวภาพแห่งชาติ สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,40000,40000.0,40000.0,2561,20 ก.ย. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,ระหว่างดำเนินการ,,314990021xxxx,นางศรีทอง ผดุงชิต,2043180529,20 ก.ย. 61,31 ม.ค. 62,"40,000",ระหว่างดำเนินการ
เช่าเช่าเครื่องถ่ายเอกสาร จำนวน 1 เครื่อง จำนวน 12 เดือน โดยวิธีเฉพาะเจาะจง,60107029526.0,2561,เช่า,องค์การบริหารส่วนตำบลบางพูด,องค์การบริหารส่วนตำบลบางพูด,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,38520,,38520.0,2561,2 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,135548003495.0,บริษัท 3 ดี เซ็นเตอร์ 48 (ประเทศไทย) จำกัด,3/2561,2 ต.ค. 60,1 ต.ค. 61,"38,520",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสาร โดยวิธีเฉพาะเจาะจง,60127021438.0,2561,เช่า,องค์การบริหารส่วนตำบลคลองสี่,องค์การบริหารส่วนตำบลคลองสี่,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,40000,40000.0,38000.0,2561,30 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,310020289xxxx,ร้านเค ซัพพลายโปรดักส์,52/2561,30 พ.ย. 60,27 ก.ย. 61,"38,000",ระหว่างดำเนินการ
เช่าสัญญาณ DOMAIN สำหรับระบบเว็บไซต์ของสถานคุ้มครองและพัฒนาคนพิการบ้านกึ่งวิถี (หญิง) จังหวัดปทุมธานีระยะเวลา 1 ปี เดือนตุลาคม 2560 ถึงเดือน กันยายน 2561 โดยวิธีเฉพาะเจาะจง,61097024231.0,2561,เช่า,กรมส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ,สถานคุ้มครองและพัฒนาคนพิการบ้านกึ่งวิถี (หญิง) จังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,36000,36000.0,36000.0,2561,31 ส.ค. 61,ปทุมธานี,ธัญบุรี,รังสิต,สิ้นสุดสัญญา,,105555097548.0,บริษัท เจริญชัย มาร์เก็ตติ้ง แอนด์ ดีเวลลอปเมนท์  จำกัด,พม 0707.06/1361,31 ส.ค. 61,3 ก.ย. 61,"36,000",สิ้นสุดสัญญา
เช่าเครื่องถ่ายเอกสาร โดยวิธีเฉพาะเจาะจง,60097255619.0,2561,เช่า,กรมปศุสัตว์,สำนักสุขศาสตร์สัตว์และสุขอนามัยที่ 1 กรมปศุสัตว์ ปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,36000,36000.0,36000.0,2561,15 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บางกะดี,สิ้นสุดสัญญา,,105555149611.0,บริษัท วี วิน อินโฟ เทรด จำกัด,5/2561,15 พ.ย. 60,15 พ.ย. 61,"36,000",สิ้นสุดสัญญา
เช่าเช่าเหมารถบัสโครงการพัฒนาผู้เรียนด้วยกระบวนการลูกเสือ โดยวิธีเฉพาะเจาะจง,61067266739.0,2561,เช่า,ศูนย์ กศน.คลองหลวง,ศูนย์ กศน.คลองหลวง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,36000,36000.0,36000.0,2561,13 มิ.ย. 61,ปทุมธานี,-,-,ระหว่างดำเนินการ,,133540000339.0,หจก.สามารถ แอนด์ เอส.เอ็ม.ทรานสปอร์ต,24/2561,13 มิ.ย. 61,16 มิ.ย. 61,"36,000",ระหว่างดำเนินการ
เช่าเครื่องตรวจจับวัตถุโลหะ Hand scan โดยวิธีเฉพาะเจาะจง,61097745729.0,2561,เช่า,สำนักงานปลัดกระทรวงศึกษาธิการ,สำนักงานศึกษาธิการจังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,35200,35200.0,35200.0,2561,17 ก.ย. 61,ปทุมธานี,เมืองปทุมธานี,บางเดื่อ,สิ้นสุดสัญญา,,320050012xxxx,นายโสรัตน์  สานทอง,109/2561,17 ก.ย. 61,20 ก.ย. 61,"35,200",สิ้นสุดสัญญา
เช่าเวทีพร้อมเครื่องเสียง รวมค่าติดตั้งและรื้อถอน สำหรับใช้ในพิธีการตามโครงการจัดงานประเพณีสงกรานต์และวันผู้สูงอายุ ประจำปี 2561 ในวันที่ 13 เมษายน 2561 โดยวิธีเฉพาะเจาะจง,61047149765.0,2561,เช่า,องค์การบริหารส่วนตำบลระแหง,องค์การบริหารส่วนตำบลระแหง,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,35000,,35000.0,2561,11 เม.ย. 61,ปทุมธานี,ลาดหลุมแก้ว,ระแหง,สิ้นสุดสัญญา,,313050012xxxx,นายศิโรจน์  เกษร,70/2561,11 เม.ย. 61,13 เม.ย. 61,"35,000",สิ้นสุดสัญญา
เช่าถังดับเพลิง (โครงการฝึกซ้อมแผนป้องกันภัย ประจำปี 2561) โดยวิธีเฉพาะเจาะจง,61047232601.0,2561,เช่า,เทศบาลเมืองคูคต,เทศบาลเมืองคูคต,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,33050,33050.0,33050.0,2561,20 เม.ย. 61,ปทุมธานี,ลำลูกกา,คูคต,สิ้นสุดสัญญา,,3130600309162.0,สุเนตร เคมีคอล,242/2561,20 เม.ย. 61,25 เม.ย. 61,"33,050",สิ้นสุดสัญญา
เช่าพัดลมไอน้ำ ขนาด 22 นิ้ว จำนวน 20 ตัว โครงการพิธีถวายดอกไม้จันทน์พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช โดยวิธีเฉพาะเจาะจง,60107176348.0,2561,เช่า,องค์การบริหารส่วนตำบลคลองห้า,องค์การบริหารส่วนตำบลคลองห้า,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,16000,16000.0,32000.0,2561,24 ต.ค. 60,ปทุมธานี,คลองหลวง,คลองห้า,ระหว่างดำเนินการ,,110050001xxxx,นายอำนาจ   เกษรศรี,16/2561,24 ต.ค. 60,26 ต.ค. 60,"16,000",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสาร ประจำเดือนตุลาคม 2560 โดยวิธีเฉพาะเจาะจง,60127430715.0,2561,เช่า,กรมป้องกันและบรรเทาสาธารณภัย,สถาบันพัฒนาบุคลากรด้านการป้องกันและบรรเทาสาธารณภัย,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,31857,31857.0,31857.0,2561,29 พ.ย. 60,ปทุมธานี,เมืองปทุมธานี,บางพูน,สิ้นสุดสัญญา,,105543090365.0,บริษัท สมาร์ท ควอลิตี้ เซอร์วิส จำกัด,มท0625/42/2561,29 พ.ย. 60,30 ก.ย. 61,"31,857",สิ้นสุดสัญญา
